"country","sftgcode","iso3code","year","start","ongoing","ageln","postcw","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","wdi.popsizeln","wdi.tradeln","xxxcimrln","polcat1","polcat2","polcat3","polcat7","pitfcat1","pitfcat2","pitfcat3","pitfcat4","pitfcat5","pitfcat6","durableln","autocracy","efcat1","efcat2","efcat3","efcat9","ever","ongoing.1","cou.tries5d","regacln","civconln","io.iccpr1","mix.gdppcgrowsr","dispota4ln","elceliti","elcelethc","elceleth1","elceleth2","sftpuhvl2.10ln","coup.p","cwar.p","pitf.p","threat.p","harff.p","rf.p","mean.p","date"
"Chile","CHL","CHL",2014,0,0,5.28320372873799,1,0,0,0,0,0,1,16.6756987862952,4.22043019478077,-1.06029696313915,0,0,1,0,0,0,0,0,1,0,3.17805383034795,0,0,1,0,0,1,0,0,1.6094379124341,0,1,2.35698324987701,0,0,0,0,0,0,0.0050759162830574,0.00330389411285804,0.00187128215385444,0.000599635350264704,0.00157647721630994,0,0.000725370855524882,2018-07-06
"China","CHN","CHN",2014,0,0,7.71244383427499,1,0,1,0,0,0,0,21.0238851117399,3.94815549308157,-0.307804750318681,1,0,0,0,1,0,0,0,0,0,4.15888308335967,1,1,0,0,0,1,0,0,3.04452243772342,0,0,2.7928480087538,0.76080582903376,1,1,1,0,0,0.00606521664950349,0.0713168541447375,0.0140233189706963,0.00922279172204109,0.010962824647648,0,0.00672853878989635,2018-07-06
"Colombia","COL","COL",2014,0,1,5.27811465923052,1,0,0,0,0,0,1,17.6805347607764,3.6375436241245,-0.288780714404566,0,0,1,0,0,0,1,0,0,0,4.02535169073515,0,0,0,1,0,1,1,0,0,1.6094379124341,1,2.05255421617334,0,0,0,0,0,3.61091791264422,0.0121512117231719,0.00467362066531976,0.0294661006046592,0.00139282119803279,0.00984524635500661,0,0.0037460225176798,2018-07-06
"Comoros","COM","COM",2014,0,0,3.68887945411394,1,1,0,0,0,0,0,13.4835324077918,4.20624413265968,1.17731473212715,0,0,1,0,0,0,0,1,0,0,1.94591014905531,0,0,0,0,1,0,0,0,0,0,0,1.72069432003456,0,0,0,0,0,0,0.0638857926072049,0.00238300805058707,0.0524452176778863,0.00221010542280396,0.00892484062035706,0,0.00371164868105367,2018-07-06
"Congo-Brazzaville","CON","COG",2014,0,0,4.00733318523247,1,1,0,0,0,0,0,15.282705182029,4.8047783592902,1.25067676016097,0,1,0,0,1,0,0,0,0,0,2.77258872223978,1,0,0,1,0,1,0,0,1.6094379124341,0,1,1.9493588684903,3.09104245335832,0,1,1,0,0,0.0449230177946207,0.0207807602138445,0.0520008755644649,0.0112201352286596,0.019514573805432,0.021,0.0172449030113639,2018-07-06
"Congo-Kinshasa","ZAI","COD",2014,0,1,4.00733318523247,1,1,0,0,0,0,0,18.0006869994763,4.81063882062017,1.28263174959558,0,1,0,0,0,0,0,1,0,0,1.94591014905531,0,0,0,1,0,1,1,1,1.79175946922805,1.79175946922805,1,2.67432426100134,1.09861228866811,0,0,0,0,3.40119738166216,0.15303311544567,0.0609452435761723,0.0674649827160545,0.0578653413376036,0.00759663173731739,0.018,0.0278206576916403,2018-07-06
"Costa Rica","COS","CRI",2014,0,0,5.26785815906333,1,0,0,0,0,0,1,15.3852289928828,4.37545328875369,-0.837153410092605,0,0,1,0,0,0,0,0,1,0,4.54329478227,0,1,0,0,0,0,0,0,2.07944154167984,0,1,2.26472847159646,0,0,0,0,0,0,0.00404779730520861,0.002883490497064,0.00217712283757577,0.000463221086520707,0.000899868604418004,0,0.000454363230312903,2018-07-06
"Croatia","CRO","HRV",2014,0,0,3.17805383034795,1,0,0,1,0,0,0,15.2664215621701,4.45510944238796,-1.25464709384531,0,0,1,0,0,0,0,1,0,0,2.56494935746154,0,0,1,0,0,0,0,0,1.94591014905531,0,1,-1.40559972366564,1.94591014905531,0,1,1,0,0,0.0056277136165877,0.00209188872384143,0.0173692028278865,0.00043259146969188,0.00687251383361002,0,0.00243503510110063,2018-07-06
"Cuba","CUB","CUB",2014,0,0,4.99043258677874,1,0,0,0,0,0,1,16.2377397981162,3.66601970346495,-1.48151042615315,1,0,0,0,1,0,0,0,0,0,3.95124371858143,1,1,0,0,0,1,0,0,2.07944154167984,0,0,1.6463108609538,0,1,0,0,0,0,0.00322784843577105,0.00585361496087245,0.00195312580191241,0.000736885374390383,0.00179442854780077,0,0.00084377130739705,2018-07-06
"Cyprus","CYP","CYP",2014,0,0,4.00733318523247,1,0,0,1,0,0,0,13.9368375286801,4.46213320429992,-0.85359213752047,0,0,1,0,0,0,0,0,1,0,3.66356164612965,0,0,1,0,0,0,0,0,2.94443897916644,0,1,-1.54919333848297,0,1,1,1,0,0,0.00497204430392832,0.00238696626420071,0.00458788607235696,0.000448179402374926,0.00201868465337184,0.003,0.00182228801858225,2018-07-06
