"country","sftgcode","iso3code","year","start.1","mean.p","harff.p","threat.p","rf.p"
"Albania","ALB","ALB",1989,0,0.00405574210905195,0.00678356837607624,0.00438365795107961,0.001
"Albania","ALB","ALB",1990,0,0.0126668360788783,0.0209248519477354,0.0120756562888995,0.005
"Albania","ALB","ALB",1991,0,0.0154860728092096,0.0321061034124252,0.00835211501520367,0.006
"Albania","ALB","ALB",1992,0,0.0111804997871419,0.0199875551554183,0.0095539442060074,0.004
"Albania","ALB","ALB",1993,0,0.0116343447208433,0.0243064985911657,0.00759653557136425,0.003
"Albania","ALB","ALB",1994,0,0.0157458849625278,0.0347473928062916,0.00849026208129171,0.004
"Albania","ALB","ALB",1995,0,0.0137085244101617,0.0342872967843308,0.00683827644615423,0
"Albania","ALB","ALB",1996,0,0.00891142225507023,0.016042298529622,0.00669196823558872,0.004
"Albania","ALB","ALB",1997,0,0.00784452750351661,0.0105356647984042,0.00799791771214558,0.005
"Albania","ALB","ALB",1998,0,0.00634404611318925,0.0093980932406648,0.00763404509890295,0.002
"Albania","ALB","ALB",1999,0,0.0052875071299268,0.00783777940911361,0.00702474198066678,0.001
"Albania","ALB","ALB",2000,0,0.00435827817877703,0.00737430984239279,0.00570052469393829,0
"Albania","ALB","ALB",2001,0,0.00464590792543198,0.0074598921908974,0.00647783158539855,0
"Albania","ALB","ALB",2002,0,0.00266781706512249,0.00619823388991265,0.00180521730545482,0
"Albania","ALB","ALB",2003,0,0.00231785232743764,0.00602301197236181,0.000930545009951114,0
"Albania","ALB","ALB",2004,0,0.00221108106088718,0.00579069609721052,0.000842547085451027,0
"Albania","ALB","ALB",2005,0,0.0021396958172596,0.00556552289355709,0.000853564558221713,0
"Albania","ALB","ALB",2006,0,0.00214519844634057,0.00554768238280823,0.000887912956213468,0
"Albania","ALB","ALB",2007,0,0.0022156337935174,0.00600662240402436,0.000640278976527842,0
"Albania","ALB","ALB",2008,0,0.00227948768952604,0.00613298414478628,0.000705478923791826,0
"Albania","ALB","ALB",2009,0,0.00249489393224612,0.00670566075588139,0.000779021040856982,0
"Albania","ALB","ALB",2010,0,0.0025549700614932,0.00681369869154466,0.000851211492934938,0
"Albania","ALB","ALB",2011,0,0.00247474916208162,0.00661869827276523,0.000805549213479628,0
"Albania","ALB","ALB",2012,0,0.00267519503315655,0.00721363635825371,0.000811948741215947,0
"Albania","ALB","ALB",2013,NA,NA,NA,NA,NA
"Albania","ALB","ALB",2014,NA,NA,NA,NA,NA
"Algeria","ALG","DZA",1962,0,NA,NA,NA,NA
"Algeria","ALG","DZA",1963,0,NA,NA,0.0117905101956082,NA
"Algeria","ALG","DZA",1964,0,0.0155166338131079,0.0193057824336867,0.020244119005637,0.007
"Algeria","ALG","DZA",1965,0,0.0133790057901952,0.0208128898694301,0.0193241275011554,0
"Algeria","ALG","DZA",1966,0,0.0141197797497797,0.020138641319037,0.021220697930302,0.001
"Algeria","ALG","DZA",1967,0,0.013986291226215,0.0220245133732651,0.0199343603053798,0
"Algeria","ALG","DZA",1968,0,0.0140233552393185,0.020967410252534,0.0191026554654216,0.002
"Algeria","ALG","DZA",1969,0,0.0128286779837629,0.019540978766895,0.0189450551843936,0
"Algeria","ALG","DZA",1970,0,0.0138528824890276,0.0197409907927038,0.018817656674379,0.003
"Algeria","ALG","DZA",1971,0,0.0154243803164855,0.0214844732363917,0.0207886677130648,0.004
"Algeria","ALG","DZA",1972,0,0.013135158290941,0.0259896325246729,0.00941584234815007,0.004
"Algeria","ALG","DZA",1973,0,0.0107914411281449,0.0224572408568035,0.00991708252763132,0
"Algeria","ALG","DZA",1974,0,0.00949518019955334,0.0184926126395704,0.00999292795908964,0
"Algeria","ALG","DZA",1975,0,0.009803260893811,0.0176969343208773,0.0107128483605557,0.001
"Algeria","ALG","DZA",1976,0,0.0096491622284763,0.0180996141034794,0.0098478725819495,0.001
"Algeria","ALG","DZA",1977,0,0.0105610541630345,0.0176366184290112,0.0100465440600923,0.004
"Algeria","ALG","DZA",1978,0,0.0100860596939491,0.0191033718275497,0.0101548072542975,0.001
"Algeria","ALG","DZA",1979,0,0.00987910332044647,0.0194871612706629,0.0101501486906765,0
"Algeria","ALG","DZA",1980,0,0.010965407342735,0.0196256310993172,0.0102705909288878,0.003
"Algeria","ALG","DZA",1981,0,0.00987411907295575,0.019517670239844,0.0101046869790232,0
"Algeria","ALG","DZA",1982,0,0.0102683463450677,0.0208517624870545,0.00995327654814864,0
"Algeria","ALG","DZA",1983,0,0.0108872640961171,0.0221461017730724,0.0105156905152788,0
"Algeria","ALG","DZA",1984,0,0.010776140230005,0.0220412290982447,0.0102871915917703,0
"Algeria","ALG","DZA",1985,0,0.0108619049947676,0.0225025422760527,0.0100831727082501,0
"Algeria","ALG","DZA",1986,0,0.0142590219038696,0.0283950954290272,0.0103819702825815,0.004
"Algeria","ALG","DZA",1987,0,0.0164362104097969,0.0298463200729248,0.0104623111564658,0.009
"Algeria","ALG","DZA",1988,0,0.0178933499739901,0.02611231300413,0.0105677369178401,0.017
"Algeria","ALG","DZA",1989,0,0.0688274044076612,0.0511850786756953,0.0202971345472882,0.135
"Algeria","ALG","DZA",1990,1,0.18534061597326,0.051418527583126,0.0196033203366541,0.485
"Algeria","ALG","DZA",1991,0,0.0273251586818266,0.0389952595140579,0.0119802165314218,0.031
"Algeria","ALG","DZA",1992,0,0.0134136821161525,0.0169654525616426,0.0162755937868148,0.007
"Algeria","ALG","DZA",1993,0,0.0138072141758053,0.0176539090699716,0.0167677334574443,0.007
"Algeria","ALG","DZA",1994,0,0.0110806624739655,0.0158989769861468,0.0153430104357497,0.002
"Algeria","ALG","DZA",1995,0,0.0165353084204919,0.0242758144965318,0.0233301107649439,0.002
"Algeria","ALG","DZA",1996,0,0.0175618427071047,0.0243721541770913,0.0213133739442227,0.007
"Algeria","ALG","DZA",1997,0,0.0131283407977471,0.0262484712792981,0.0131365511139433,0
"Algeria","ALG","DZA",1998,0,0.0140270335291826,0.027514766480535,0.0125663341070127,0.002
"Algeria","ALG","DZA",1999,0,0.014679565293688,0.0263581161885062,0.0136805796925579,0.004
"Algeria","ALG","DZA",2000,0,0.0125979089174786,0.0219869721758368,0.012806754576599,0.003
"Algeria","ALG","DZA",2001,0,0.0125425572364001,0.0245691105201392,0.0120585611890611,0.001
"Algeria","ALG","DZA",2002,0,0.00839848460622686,0.0141679829363518,0.0110274708823287,0
"Algeria","ALG","DZA",2003,0,0.00845064010639857,0.014386733002187,0.0109651873170087,0
"Algeria","ALG","DZA",2004,0,0.00967240162336881,0.0135264482652206,0.0144907566048858,0.001
"Algeria","ALG","DZA",2005,0,0.00948339123048599,0.0131966861242944,0.0112534875671636,0.004
"Algeria","ALG","DZA",2006,0,0.00829347152190268,0.0131512962148602,0.0107291183508479,0.001
"Algeria","ALG","DZA",2007,0,0.00772155882080493,0.0131450662899692,0.0100196101724456,0
"Algeria","ALG","DZA",2008,0,0.00750796486771345,0.0128712323107544,0.00965266229238598,0
"Algeria","ALG","DZA",2009,0,0.00881241213802154,0.0139143356625364,0.00952290075152822,0.003
"Algeria","ALG","DZA",2010,0,0.00826250036617394,0.0145566549508135,0.00923084614770828,0.001
"Algeria","ALG","DZA",2011,0,0.00923813765292394,0.0153378727677187,0.00937654019105313,0.003
"Algeria","ALG","DZA",2012,0,0.00853398750739677,0.0167525598318613,0.00884940269032899,0
"Algeria","ALG","DZA",2013,NA,NA,NA,NA,NA
"Algeria","ALG","DZA",2014,NA,NA,NA,NA,NA
"Angola","ANG","AGO",1975,0,NA,NA,NA,NA
"Angola","ANG","AGO",1976,0,NA,NA,NA,NA
"Angola","ANG","AGO",1977,0,NA,NA,NA,NA
"Angola","ANG","AGO",1978,0,NA,NA,NA,NA
"Angola","ANG","AGO",1979,0,NA,NA,NA,NA
